Company_ID,Company_Name,Company_Profit,Address,City,Company_Profit_Log
1,Tech  Enterprises  1,80701.0,"EDSA, Barangay 606, Pasig, Philippines",Pasig,11.298518637098402
2,Global  Partners  2,80511.0,"Commonwealth Ave, Barangay 789, Taguig, Philippines",Taguig,11.296161520620057
3,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines",Pasig,11.614262898876145
4,Prime Network 4,74653.0,"Alabang-Zapote Rd, Barangay 202, Taguig, Philippines",Taguig,11.220619384920948
5,Elite  Ventures  5,69427.0,"Ayala Avenue, Barangay 101, Makati, Philippines",Makati,11.148045523340771
7,Dynamic Solutions 7,36661.0,"Commonwealth Ave, Barangay 303, Pasig, Philippines",Pasig,10.50949607527931
9,Global Enterprises 9,96046.0,"Slex, barangay 123, pasig, philippines",pasig,11.472592933976488
10,Pioneer Network 10,65200.0,"Katipunan Ave, Barangay 101, Mandaluyong, Philippines",Mandaluyong,11.08523008522044
11,Dynamic Ventures 11,97442.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines",Quezon City,11.487022870647118
12,Quantum Network 12,91671.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines",Mandaluyong,11.425972268106284
13,Quantum  Enterprises  13,88168.0,"Taft Ave, Barangay 606, Makati, Philippines!",Makati,11.387010706290544
15,Innovative Enterprises 15,111984.0,"Roxas Blvd, Barangay 456, Taguig, Philippines",Taguig,11.626120212736572
16,Green  Corp  16,67696.0,"Shaw Blvd, Barangay 707, Taguig, Philippines!",Taguig,11.122797144772276
17,Dynamic Solutions 17,100246.0,"Ayala avenue, brgy. 404, baguio, philippines",baguio,11.515392419534017
19,Innovative Consulting 19,45583.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines",Baguio,10.72731205673769
20,Pioneer Consulting 20,112720.0,"Ortigas ave, barangay 789, parañaque, philippines",parañaque,11.63267101807331
21,Dynamic Enterprises 21,74653.0,"Ortigas Ave, Barangay 707, Davao City, Philippines",Davao City,11.220619384920948
22,Sky Ent.s 22,54853.0,"SLEX, Barangay 202, Pasig, Philippines",Pasig,10.912430389206653
23,Prime Corp 23,74653.0,"Slex, barangay 505, manila, philippines",manila,11.220619384920948
24,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines",Mandaluyong,11.404872438868356
25,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines",Pasig,10.509441521393695
26,Tech Associates 26,31238.0,"Taft ave, brgy. 456, manila, philippines",manila,10.349422593198005
27,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines",Pasig,10.715861170990511
29,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!",makati,11.034131312034901
30,Quantum Holdings 30,35620.0,"EDSA, Barangay 789, Pasig, Philippines",Pasig,10.480690630565247
31,Sky Consulting 31,74258.0,"Ayala Avenue, Barangay 456, Mandaluyong, Philippines",Mandaluyong,11.215314261440563
32,Prime  Consulting  32,34470.0,"Roxas blvd, barangay 505, quezon city, philippines",quezon city,10.44787366982408
33,Green  Consulting  33,52003.0,"Shaw blvd, barangay 707, mandaluyong, philippines!",mandaluyong,10.859075917682059
34,Pioneer Corp 34,57571.0,"Ortigas ave, barangay 707, makati, philippines",makati,10.960791617382561
35,Tech  Network  35,54668.0,"Roxas Blvd, Brgy. 123, Davao City, Philippines",Davao City,10.909052100154165
37,Prime Holdings 37,62046.0,"Katipunan Ave, Barangay 456, Mandaluyong, Philippines",Mandaluyong,11.03564744135758
38,Sky Network 38,100977.0,"Commonwealth Ave, Barangay 202, Makati, Philippines",Makati,11.522657950314608
39,Prime  Consulting  39,107255.0,"Ortigas Ave, Barangay 606, Davao City, Philippines",Davao City,11.582973779281398
41,Sky Partners 41,74653.0,"Ayala Avenue, Barangay 404, Pasig, Philippines",Pasig,11.220619384920948
42,Sky  Holdings  42,52233.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines",Baguio,10.863488902836416
43,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines",Cebu City,11.638120960342066
44,Tech  Solutions  44,74653.0,"Ortigas ave, barangay 202, cebu city, philippines",cebu city,11.220619384920948
45,Prime Industries 45,99726.0,"Roxas Blvd, Barangay 404, Mandaluyong, Philippines",Mandaluyong,11.510191731724172
46,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!",Pasig,11.442717569926732
47,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines",Mandaluyong,10.345959386273389
48,Global  Corp  48,74653.0,"Katipunan ave, barangay 101, cebu city, philippines",cebu city,11.220619384920948
49,Tech Holdings 49,115517.0,"Edsa, barangay 303, quezon city, philippines",quezon city,11.65718164095739
50,Sky Associates 50,32118.0,"Alabang-Zapote Rd, Brgy. 303, Baguio, Philippines",Baguio,10.377203034325737
51,Global  Holdings  51,30663.0,"Taft Ave, Barangay 456, Cebu City, Philippines",Cebu City,10.33084460706039
53,Global Partners 53,74653.0,"Taft Ave, Barangay 123, Manila, Philippines!",Manila,11.220619384920948
54,Innovative Network 54,111271.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines",Quezon City,11.619732933286967
55,Innovative Holdings 55,49158.0,"Slex, barangay 404, taguig, philippines",taguig,10.802815221731821
56,Pioneer  Ent.s  56,61087.0,"EDSA, Barangay 404, Taguig, Philippines",Taguig,11.020070726525475
57,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines",parañaque,11.679414005127859
58,Tech Ventures 58,83121.0,"Roxas Blvd, Brgy. 505, Pasig, Philippines",Pasig,11.328064687081323
59,Elite  Associates  59,49874.0,"EDSA, Barangay 404, Davao City, Philippines",Davao City,10.817275154192165
60,Global Ventures 60,113443.0,"Katipunan ave, barangay 101, parañaque, philippines",parañaque,11.639064602075191
61,Global Solutions 61,70821.0,"Shaw Blvd, Barangay 505, Pasig, Philippines",Pasig,11.167924965877134
62,Quantum Solutions 62,90582.0,"Shaw Blvd, Barangay 707, Baguio, Philippines!",Baguio,11.41402183645577
63,Tech Corp 63,52787.0,"Alabang-zapote rd, barangay 606, pasig, philippines",pasig,10.87403917113672
64,Sky Consulting 64,94703.0,"Ortigas Ave, Barangay 202, Mandaluyong, Philippines",Mandaluyong,11.458511516930507
65,Tech Associates 65,51705.0,"Ortigas ave, barangay 404, parañaque, philippines",parañaque,10.853329107921365
66,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines",Parañaque,11.506726289727407
67,Quantum Associates 67,74653.0,"Shaw Blvd, Barangay 202, Manila, Philippines",Manila,11.220619384920948
68,Innovative  Solutions  68,112018.0,"Katipunan ave, barangay 101, taguig, philippines",taguig,11.626423778746652
69,Global Solutions 69,116217.0,"Ayala Avenue, Barangay 505, Quezon City, Philippines",Quezon City,11.663223016738984
70,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines",Baguio,11.038962005936805
71,Prime Associates 71,103332.0,"EDSA, Brgy. 303, Parañaque, Philippines",Parañaque,11.545712061981565
72,Global Corp 72,102799.0,"EDSA, Barangay 303, Cebu City, Philippines",Cebu City,11.540540632003202
